query,seller_name,seller_id,rate
slip on asos,Aqua Sportswear,475,0.66355140186915884
titishop áo thun,TitiShop,476,1.0
titishop áo vest nam,TitiShop,476,0.94326241134751776
titishop,TitiShop,476,0.94309462915601028
titishop nữ,TitiShop,476,0.90322580645161288
áo vest nam titishop,TitiShop,476,0.89333333333333331
quần tây titishop,TitiShop,476,0.78640776699029125
sơ mi titishop,TitiShop,476,0.77419354838709675
áo khoac,TitiShop,476,0.71351351351351355
ao so mi nam hoa tiet hoa van,TitiShop,476,0.7007299270072993
ca vat ban 6 cm,TitiShop,476,0.68327402135231319
túi xách nữ lala,LA LA,477,0.85185185185185186
powerbeats pro,iStore,479,0.66491688538932636
găng tay nitrile,Bếp Vệ Sinh,481,0.68292682926829273
túi đeo chéo sonoz,Sonoz,490,0.80733944954128445
waist bag,Sonoz,490,0.75609756097560976
withings,Starter,505,0.81767955801104975
cặp coolbell,Shop Cặp Balo Giá Gốc,531,1.0
coolbell,Shop Cặp Balo Giá Gốc,531,0.997507270461155
balo coolbell,Shop Cặp Balo Giá Gốc,531,0.846
giày urban,Giầy Đông Ấn,535,0.85032537960954446
urban,Giầy Đông Ấn,535,0.70892018779342725
ace homme,Hopp Store,536,1.0
mr ace,Hopp Store,536,0.993103448275862
mr ace homme,Hopp Store,536,0.98992805755395685
mr.ace homme,Hopp Store,536,0.98697539797395084
balo mr.ace homme,Hopp Store,536,0.938239159001314
balo nữ casual,Hopp Store,536,0.89240506329113922
sữa bio,Genyo,538,0.79878048780487809
ra nệm,Genyo,538,0.79120879120879117
quan jin nu aaa,AAA Jeans,539,1.0
jeans aaa,AAA Jeans,539,0.970954356846473
quan aaa,AAA Jeans,539,0.94285714285714284
aaa jeans,AAA Jeans,539,0.90994916485112565
jean aaa,AAA Jeans,539,0.90759075907590758
aaa jean,AAA Jeans,539,0.87267080745341619
aaajeans,AAA Jeans,539,0.859375
quần jean nữ aaa,AAA Jeans,539,0.82727272727272727
quan jean aaa,AAA Jeans,539,0.78246753246753242
quần jean aaa,AAA Jeans,539,0.76117496807151974
màng ép plastic,Gia Lạc Trading,571,0.74924471299093653
truyện cậu bé rồng,Nhà Sách Mười Chín,573,0.90751445086705207
cậu bé rồng,Nhà Sách Mười Chín,573,0.82361733931240655
babycute,BabyCute Company (TP.HCM),576,1.0
quan bo bim babycute,BabyCute Company (TP.HCM),576,1.0
băng vệ sinh vải,BabyCute Company (TP.HCM),576,0.671957671957672
tô tượng,R STAR,581,0.86897880539499039
im cương nhân tạo fascino gems dạng tròn 12.0 mm màu tcf,FASCINO,584,1.0
kim cương nhân tạo fascino gems dạng tròn 12.0 mm,FASCINO,584,1.0
nhẵn kim cương,FASCINO,584,1.0
tcf,FASCINO,584,1.0
kim cương nhân tạo fascino gems dạng tròn 12.0 mm,FASCINO,584,0.986644407345576
nhân kim cương,FASCINO,584,0.92241379310344829
kim cương nhân tạo,FASCINO,584,0.910775002931176
gembank,Gembank,585,0.94339622641509435
4u shop,4U Shop,588,0.94566623544631312
ví 4u,4U Shop,588,0.87058823529411766
4u,4U Shop,588,0.84736842105263155
ví nam 4u,4U Shop,588,0.75477707006369432
nón napoli,Hải Đăng Sport,599,1.0
mũ napoli,Hải Đăng Sport,599,1.0
napoli,Hải Đăng Sport,599,0.99760956175298809
nón napoli 3/4,Hải Đăng Sport,599,0.97810218978102192
mu bao hiem napoli,Hải Đăng Sport,599,0.84027777777777779
mũ 3/4 napoli,Hải Đăng Sport,599,0.72105263157894739
nón bảo hiểm 3/4 napoli,Hải Đăng Sport,599,0.67105263157894735
tranh phật quan thế âm bồ tát,Thế Giới Tranh Đẹp,610,1.0
tranh phong khach kich thuoc nho,Thế Giới Tranh Đẹp,610,0.96946564885496178
thêu tranh chữ thập phật,Thế Giới Tranh Đẹp,610,0.96039603960396036
mặt nạ trang tri,Thế Giới Tranh Đẹp,610,0.95081967213114749
đồng hồ tranh treo tường,Thế Giới Tranh Đẹp,610,0.93069306930693074
tranh phật giáo,Thế Giới Tranh Đẹp,610,0.9278688524590164
